customer_id,customer_segment,state,region
CUST00001,Retail,MA,Northeast
CUST00002,Wholesale,NY,Northeast
CUST00003,Retail,OR,West
CUST00004,Retail,IL,Midwest
CUST00005,Retail,NJ,Northeast
CUST00006,Retail,CT,Northeast
CUST00007,Wholesale,NJ,Northeast
CUST00008,Retail,CA,West
CUST00009,Wholesale,IN,Midwest
CUST00010,Retail,CT,Northeast
CUST00011,Retail,PA,Northeast
CUST00012,Retail,FL,South
CUST00013,Retail,MI,Midwest
CUST00014,Retail,MI,Midwest
CUST00015,Retail,WA,West
CUST00016,Retail,NC,South
CUST00017,Retail,TX,South
CUST00018,Retail,PA,Northeast
CUST00019,Retail,NY,Northeast
CUST00020,Retail,IN,Midwest
CUST00021,Retail,GA,South
CUST00022,Wholesale,TX,South
CUST00023,Retail,MI,Midwest
CUST00024,Retail,GA,South
CUST00025,Retail,OR,West
CUST00026,Wholesale,TN,South
CUST00027,Retail,CT,Northeast
CUST00028,Retail,TX,South
CUST00029,Enterprise,MI,Midwest
CUST00030,Wholesale,NY,Northeast
CUST00031,Wholesale,MI,Midwest
CUST00032,Retail,TN,South
CUST00033,Retail,MI,Midwest
CUST00034,Retail,MI,Midwest
CUST00035,Retail,AZ,West
CUST00036,Retail,NY,Northeast
CUST00037,Wholesale,AZ,West
CUST00038,Retail,NY,Northeast
CUST00039,Enterprise,GA,South
CUST00040,Retail,GA,South
CUST00041,Wholesale,OR,West
CUST00042,Retail,OR,West
CUST00043,Retail,NY,Northeast
CUST00044,Wholesale,NJ,Northeast
CUST00045,Retail,MA,Northeast
CUST00046,Retail,WI,Midwest
CUST00047,Enterprise,IL,Midwest
CUST00048,Wholesale,FL,South
CUST00049,Retail,MA,Northeast
CUST00050,Retail,OH,Midwest
CUST00051,Retail,MA,Northeast
CUST00052,Wholesale,OR,West
CUST00053,Retail,OH,Midwest
CUST00054,Retail,OH,Midwest
CUST00055,Retail,CA,West
CUST00056,Retail,MI,Midwest
CUST00057,Wholesale,WA,West
CUST00058,Retail,GA,South
CUST00059,Enterprise,PA,Northeast
CUST00060,Retail,PA,Northeast
CUST00061,Retail,OH,Midwest
CUST00062,Retail,AZ,West
CUST00063,Retail,GA,South
CUST00064,Enterprise,IL,Midwest
CUST00065,Retail,WI,Midwest
CUST00066,Retail,FL,South
CUST00067,Wholesale,MA,Northeast
CUST00068,Retail,TN,South
CUST00069,Wholesale,OR,West
CUST00070,Retail,TX,South
CUST00071,Retail,MA,Northeast
CUST00072,Retail,IN,Midwest
CUST00073,Retail,TX,South
CUST00074,Retail,CT,Northeast
CUST00075,Retail,AZ,West
CUST00076,Retail,NC,South
CUST00077,Retail,PA,Northeast
CUST00078,Enterprise,MI,Midwest
CUST00079,Retail,PA,Northeast
CUST00080,Retail,CT,Northeast
CUST00081,Wholesale,MI,Midwest
CUST00082,Wholesale,CA,West
CUST00083,Retail,TN,South
CUST00084,Retail,TX,South
CUST00085,Retail,TN,South
CUST00086,Retail,NC,South
CUST00087,Enterprise,NC,South
CUST00088,Wholesale,TN,South
CUST00089,Retail,OH,Midwest
CUST00090,Retail,CO,West
CUST00091,Enterprise,IN,Midwest
CUST00092,Retail,NC,South
CUST00093,Retail,MA,Northeast
CUST00094,Wholesale,GA,South
CUST00095,Retail,OR,West
CUST00096,Enterprise,NC,South
CUST00097,Enterprise,CO,West
CUST00098,Wholesale,IN,Midwest
CUST00099,Retail,WA,West
CUST00100,Wholesale,MA,Northeast
CUST00101,Wholesale,TX,South
CUST00102,Retail,MI,Midwest
CUST00103,Retail,OH,Midwest
CUST00104,Wholesale,IL,Midwest
CUST00105,Wholesale,NJ,Northeast
CUST00106,Retail,OR,West
CUST00107,Wholesale,PA,Northeast
CUST00108,Wholesale,OR,West
CUST00109,Retail,WI,Midwest
CUST00110,Retail,CO,West
CUST00111,Retail,OH,Midwest
CUST00112,Retail,NY,Northeast
CUST00113,Retail,WA,West
CUST00114,Retail,IN,Midwest
CUST00115,Retail,CA,West
CUST00116,Wholesale,IL,Midwest
CUST00117,Retail,WA,West
CUST00118,Wholesale,OR,West
CUST00119,Retail,NC,South
CUST00120,Retail,OR,West
CUST00121,Retail,WA,West
CUST00122,Wholesale,CO,West
