product_id,product_name,category,subcategory,unit_cost,unit_price,supplier_id
PROD001,Kitchen Product 1,Home Goods,Kitchen,13.43,28.39,SUP025
PROD002,Packaged Food Product 2,Grocery,Packaged Food,68.4,128.55,SUP003
PROD003,Men Product 3,Apparel,Men,81.37,141.91,SUP012
PROD004,Snacks Product 4,Grocery,Snacks,138.94,198.07,SUP009
PROD005,Smart Devices Product 5,Electronics,Smart Devices,242.55,481.8,SUP015
PROD006,Personal Care Product 6,Health & Personal Care,Personal Care,235.18,493.9,SUP013
PROD007,Smart Devices Product 7,Electronics,Smart Devices,151.49,322.03,SUP010
PROD008,Desk Accessories Product 8,Office Supplies,Desk Accessories,26.68,38.32,SUP012
PROD009,Personal Care Product 9,Health & Personal Care,Personal Care,16.08,25.07,SUP023
PROD010,Mobile Accessories Product 10,Electronics,Mobile Accessories,100.23,151.12,SUP022
PROD011,Storage Product 11,Home Goods,Storage,208.04,330.56,SUP003
PROD012,Kitchen Product 12,Home Goods,Kitchen,73.83,130.35,SUP013
PROD013,Beverages Product 13,Grocery,Beverages,39.53,79.54,SUP021
PROD014,Packaged Food Product 14,Grocery,Packaged Food,23.26,50.88,SUP012
PROD015,Packaged Food Product 15,Grocery,Packaged Food,194.2,279.41,SUP022
PROD016,Snacks Product 16,Grocery,Snacks,6.35,12.86,SUP022
PROD017,Paper Product 17,Office Supplies,Paper,178.18,346.12,SUP020
PROD018,Paper Product 18,Office Supplies,Paper,193.96,256.09,SUP018
PROD019,Paper Product 19,Office Supplies,Paper,92.82,126.24,SUP006
PROD020,Women Product 20,Apparel,Women,216.46,398.75,SUP009
PROD021,Desk Accessories Product 21,Office Supplies,Desk Accessories,86.07,112.78,SUP018
PROD022,Furniture Product 22,Home Goods,Furniture,81.19,126.57,SUP011
PROD023,Mobile Accessories Product 23,Electronics,Mobile Accessories,183.75,340.98,SUP002
PROD024,Beverages Product 24,Grocery,Beverages,222.37,377.72,SUP009
PROD025,Mobile Accessories Product 25,Electronics,Mobile Accessories,34.3,66.12,SUP019
PROD026,Writing Product 26,Office Supplies,Writing,191.39,341.29,SUP007
PROD027,Writing Product 27,Office Supplies,Writing,193.89,333.32,SUP013
PROD028,Writing Product 28,Office Supplies,Writing,133.07,220.39,SUP005
PROD029,Packaged Food Product 29,Grocery,Packaged Food,11.23,15.19,SUP008
PROD030,Desk Accessories Product 30,Office Supplies,Desk Accessories,12.7,23.55,SUP018
PROD031,Snacks Product 31,Grocery,Snacks,82.02,142.15,SUP019
PROD032,Footwear Product 32,Apparel,Footwear,227.35,338.03,SUP013
PROD033,Packaged Food Product 33,Grocery,Packaged Food,105.54,207.68,SUP005
PROD034,Wellness Product 34,Health & Personal Care,Wellness,61.06,80.79,SUP003
PROD035,Mobile Accessories Product 35,Electronics,Mobile Accessories,75.99,106.63,SUP005
PROD036,Paper Product 36,Office Supplies,Paper,232.78,469.68,SUP022
PROD037,Footwear Product 37,Apparel,Footwear,160.18,332.84,SUP003
PROD038,Women Product 38,Apparel,Women,201.9,288.16,SUP020
PROD039,Footwear Product 39,Apparel,Footwear,223.68,394.21,SUP009
PROD040,Personal Care Product 40,Health & Personal Care,Personal Care,202.82,426.18,SUP022
PROD041,Paper Product 41,Office Supplies,Paper,82.91,112.31,SUP022
PROD042,Wellness Product 42,Health & Personal Care,Wellness,60.84,100.74,SUP025
PROD043,Writing Product 43,Office Supplies,Writing,205.41,424.73,SUP004
PROD044,Beverages Product 44,Grocery,Beverages,6.7,11.63,SUP006
PROD045,Men Product 45,Apparel,Men,107.27,156.72,SUP024
PROD046,Writing Product 46,Office Supplies,Writing,34.37,53.99,SUP017
PROD047,Furniture Product 47,Home Goods,Furniture,236.01,367.48,SUP004
