inventory_id,date_key,product_id,warehouse_id,opening_stock,closing_stock,reorder_point,stockout_flag
INV0000001,20251204,PROD001,WH001,748,450,332,False
INV0000002,20251204,PROD047,WH001,1282,1158,206,False
INV0000003,20251204,PROD042,WH001,1115,971,263,False
INV0000004,20251204,PROD040,WH001,141,16,116,True
INV0000005,20251204,PROD084,WH001,1471,1385,379,False
INV0000006,20251204,PROD005,WH001,1044,880,172,False
INV0000007,20251204,PROD071,WH001,1214,1185,170,False
INV0000008,20251204,PROD060,WH001,1467,1258,327,False
INV0000009,20251204,PROD094,WH001,850,778,177,False
INV0000010,20251204,PROD055,WH001,1281,1224,379,False
INV0000011,20251204,PROD099,WH002,720,576,370,False
INV0000012,20251204,PROD063,WH002,988,722,167,False
INV0000013,20251204,PROD036,WH002,58,0,337,True
INV0000014,20251204,PROD092,WH002,1295,1083,157,False
INV0000015,20251204,PROD046,WH002,947,623,313,False
INV0000016,20251204,PROD074,WH002,1031,947,166,False
INV0000017,20251204,PROD079,WH002,889,419,271,False
INV0000018,20251204,PROD076,WH002,398,334,376,True
INV0000019,20251204,PROD004,WH002,408,32,201,True
INV0000020,20251204,PROD021,WH002,986,607,266,False
INV0000021,20251204,PROD060,WH003,1162,882,166,False
INV0000022,20251204,PROD007,WH003,205,0,353,True
INV0000023,20251204,PROD018,WH003,893,724,317,False
INV0000024,20251204,PROD037,WH003,1160,927,155,False
INV0000025,20251204,PROD082,WH003,279,204,337,True
INV0000026,20251204,PROD045,WH003,991,864,158,False
INV0000027,20251204,PROD051,WH003,1079,783,252,False
INV0000028,20251204,PROD019,WH003,88,0,157,True
INV0000029,20251204,PROD020,WH003,503,374,324,False
INV0000030,20251204,PROD090,WH003,455,0,394,True
INV0000031,20251204,PROD044,WH004,1292,1027,122,False
INV0000032,20251204,PROD076,WH004,475,0,302,True
INV0000033,20251204,PROD084,WH004,772,306,138,False
INV0000034,20251204,PROD020,WH004,457,300,267,False
INV0000035,20251204,PROD054,WH004,441,379,366,False
INV0000036,20251204,PROD094,WH004,313,59,199,True
INV0000037,20251204,PROD093,WH004,936,806,228,False
INV0000038,20251204,PROD096,WH004,1183,750,323,False
INV0000039,20251204,PROD032,WH004,1420,1338,298,False
INV0000040,20251204,PROD039,WH004,887,669,396,False
INV0000041,20251204,PROD080,WH005,1374,968,277,False
INV0000042,20251204,PROD063,WH005,1099,1017,195,False
INV0000043,20251204,PROD012,WH005,1055,834,370,False
INV0000044,20251204,PROD042,WH005,366,2,307,True
INV0000045,20251204,PROD043,WH005,351,0,286,True
INV0000046,20251204,PROD089,WH005,1048,859,224,False
INV0000047,20251204,PROD010,WH005,95,0,228,True
INV0000048,20251204,PROD026,WH005,900,686,366,False
INV0000049,20251204,PROD035,WH005,1376,1363,395,False
INV0000050,20251204,PROD098,WH005,445,157,326,True
INV0000051,20251204,PROD042,WH006,392,240,104,False
