order_id,order_date,customer_id,product_id,warehouse_id,quantity_ordered,order_value,promised_delivery_date,actual_delivery_date,order_status
ORD000001,2025-01-09,CUST01756,PROD029,WH010,2,30.38,2025-01-14,2025-01-12,Delivered
ORD000002,2024-10-24,CUST00186,PROD060,WH009,1,176.02,2024-10-27,2024-10-25,Delivered
ORD000003,2025-02-10,CUST00490,PROD065,WH001,2,432.88,2025-02-14,2025-02-12,Delivered
ORD000004,2025-09-20,CUST00914,PROD022,WH009,4,506.28,2025-09-27,2025-09-27,Delivered
ORD000005,2024-06-12,CUST01787,PROD073,WH010,5,1823.85,2024-06-15,2024-06-13,Delivered
ORD000006,2024-05-29,CUST00083,PROD094,WH008,2,826.94,2024-06-05,2024-06-04,Delivered
ORD000007,2024-08-12,CUST00757,PROD030,WH002,2,47.1,2024-08-17,2024-08-16,Delivered
ORD000008,2024-08-27,CUST01860,PROD086,WH004,1,241.01,2024-08-29,2024-08-27,Delivered
ORD000009,2025-01-04,CUST00082,PROD061,WH008,15,4227.15,2025-01-09,2025-01-09,Delivered
ORD000010,2025-10-26,CUST01700,PROD014,WH009,2,101.76,2025-10-30,2025-10-28,Delivered
ORD000011,2024-10-07,CUST01168,PROD034,WH010,2,161.58,2024-10-14,2024-10-12,Delivered
ORD000012,2024-06-27,CUST01204,PROD084,WH007,3,26.25,2024-07-02,2024-07-01,Delivered
ORD000013,2025-10-31,CUST01993,PROD067,WH005,1,230.85,2025-11-02,2025-11-01,Delivered
ORD000014,2024-08-16,CUST00998,PROD052,WH006,2,192.22,2024-08-22,2024-08-21,Delivered
ORD000015,2025-05-08,CUST00901,PROD001,WH009,1,28.39,2025-05-14,2025-05-17,Delayed
ORD000016,2024-06-18,CUST00576,PROD010,WH009,2,302.24,2024-06-21,2024-06-19,Delivered
ORD000017,2024-08-04,CUST01233,PROD024,WH003,10,3777.2,2024-08-07,2024-08-06,Delivered
ORD000018,2024-05-01,CUST01476,PROD030,WH007,3,70.65,2024-05-08,2024-05-07,Delivered
ORD000019,2024-04-26,CUST00432,PROD087,WH008,1,264.8,2024-05-01,2024-04-30,Delivered
ORD000020,2025-08-27,CUST00500,PROD083,WH007,1,56.15,2025-08-30,2025-08-30,Delivered
ORD000021,2024-02-14,CUST00276,PROD074,WH010,10,1994.1,2024-02-17,2024-02-17,Delivered
ORD000022,2025-10-06,CUST00115,PROD006,WH010,4,1975.6,2025-10-12,2025-10-12,Delivered
ORD000023,2024-06-19,CUST01228,PROD024,WH009,20,7554.4,2024-06-23,2024-06-22,Delivered
ORD000024,2025-07-31,CUST00444,PROD003,WH005,1,141.91,2025-08-07,2025-08-07,Delivered
ORD000025,2025-04-04,CUST00450,PROD061,WH008,1,281.81,2025-04-10,2025-04-10,Delivered
ORD000026,2025-02-24,CUST01277,PROD019,WH010,4,504.96,2025-03-02,2025-03-02,Delivered
ORD000027,2025-11-06,CUST01405,PROD034,WH003,1,80.79,2025-11-12,2025-11-10,Delivered
ORD000028,2024-12-16,CUST00471,PROD077,WH010,15,2089.35,2024-12-21,2024-12-21,Delivered
ORD000029,2025-01-22,CUST00415,PROD017,WH002,5,1730.6,2025-01-27,2025-01-27,Delivered
ORD000030,2025-06-19,CUST01241,PROD088,WH007,4,663.92,2025-06-25,2025-06-25,Delivered
ORD000031,2024-04-08,CUST01798,PROD061,WH010,3,845.43,2024-04-11,2024-04-12,Delayed
ORD000032,2025-06-28,CUST00988,PROD097,WH002,1,102.3,2025-07-04,2025-07-04,Delivered
ORD000033,2025-11-06,CUST01837,PROD078,WH009,5,1922.1,2025-11-09,2025-11-09,Delivered
ORD000034,2025-11-25,CUST00759,PROD056,WH009,20,1389.2,2025-12-02,2025-12-01,Delivered
ORD000035,2024-02-14,CUST01922,PROD068,WH007,3,845.64,2024-02-21,2024-02-25,Delayed
ORD000036,2025-05-08,CUST01860,PROD045,WH010,2,313.44,2025-05-13,2025-05-11,Delivered
ORD000037,2025-12-14,CUST00522,PROD013,WH007,1,79.54,2025-12-20,2025-12-20,Delivered
ORD000038,2025-05-03,CUST01796,PROD011,WH005,1,330.56,2025-05-06,2025-05-04,Delivered
ORD000039,2025-07-10,CUST01453,PROD033,WH004,2,415.36,2025-07-15,2025-07-15,Delivered
