return_id,order_id,product_id,return_date,return_reason,return_cost
RET000001,ORD000001,PROD029,2025-01-13,Wrong Item,138.64
RET000002,ORD000018,PROD030,2024-05-11,Wrong Item,108.4
RET000003,ORD000022,PROD006,2025-10-31,Quality Issue,27.17
RET000004,ORD000023,PROD024,2024-07-04,Wrong Item,110.42
RET000005,ORD000046,PROD045,2024-11-21,Quality Issue,61.93
RET000006,ORD000049,PROD079,2024-12-22,Damaged Item,57.68
RET000007,ORD000051,PROD012,2025-09-26,Wrong Item,25.71
RET000008,ORD000052,PROD078,2025-01-17,Damaged Item,77.49
RET000009,ORD000067,PROD097,2025-05-21,Customer Changed Mind,143.46
RET000010,ORD000072,PROD096,2025-02-24,Quality Issue,53.68
RET000011,ORD000074,PROD024,2025-08-22,Quality Issue,87.32
RET000012,ORD000076,PROD032,2024-09-11,Wrong Item,56.0
RET000013,ORD000093,PROD067,2024-06-07,Wrong Item,93.06
RET000014,ORD000094,PROD033,2025-05-17,Customer Changed Mind,128.48
RET000015,ORD000100,PROD084,2025-09-07,Wrong Item,109.94
RET000016,ORD000110,PROD013,2025-03-03,Quality Issue,135.59
RET000017,ORD000116,PROD070,2025-05-09,Damaged Item,25.21
RET000018,ORD000125,PROD053,2025-01-30,Customer Changed Mind,126.85
RET000019,ORD000131,PROD080,2024-10-13,Damaged Item,35.13
RET000020,ORD000135,PROD054,2024-08-30,Damaged Item,75.59
RET000021,ORD000139,PROD099,2024-02-02,Damaged Item,75.83
RET000022,ORD000140,PROD095,2025-04-17,Damaged Item,10.29
RET000023,ORD000143,PROD071,2024-03-05,Customer Changed Mind,144.65
RET000024,ORD000147,PROD032,2024-05-26,Damaged Item,41.48
RET000025,ORD000150,PROD098,2025-10-07,Wrong Item,60.06
RET000026,ORD000152,PROD041,2025-05-17,Customer Changed Mind,73.19
RET000027,ORD000161,PROD047,2024-01-28,Late Delivery,127.68
RET000028,ORD000188,PROD074,2025-08-19,Customer Changed Mind,99.66
RET000029,ORD000200,PROD029,2025-06-13,Quality Issue,69.11
RET000030,ORD000209,PROD077,2024-12-09,Damaged Item,79.32
RET000031,ORD000226,PROD096,2025-06-10,Damaged Item,119.42
RET000032,ORD000229,PROD036,2024-02-12,Quality Issue,14.44
RET000033,ORD000232,PROD055,2025-09-03,Damaged Item,137.22
RET000034,ORD000234,PROD018,2025-12-16,Late Delivery,110.06
RET000035,ORD000243,PROD092,2025-10-05,Damaged Item,13.33
RET000036,ORD000248,PROD055,2025-04-21,Quality Issue,124.36
RET000037,ORD000258,PROD004,2024-12-15,Customer Changed Mind,15.11
RET000038,ORD000268,PROD064,2025-05-06,Wrong Item,72.6
RET000039,ORD000275,PROD023,2024-05-03,Quality Issue,79.24
RET000040,ORD000280,PROD018,2024-11-04,Wrong Item,68.07
RET000041,ORD000312,PROD043,2025-09-17,Damaged Item,145.65
RET000042,ORD000327,PROD040,2024-04-30,Wrong Item,92.55
RET000043,ORD000335,PROD021,2024-09-26,Damaged Item,98.52
RET000044,ORD000336,PROD089,2024-12-25,Customer Changed Mind,43.28
RET000045,ORD000347,PROD075,2024-12-31,Damaged Item,142.64
RET000046,ORD000354,PROD017,2024-11-13,Wrong Item,59.36
RET000047,ORD000384,PROD068,2024-10-12,Late Delivery,133.34
RET000048,ORD000389,PROD099,2025-02-27,Late Delivery,105.7
RET000049,ORD000393,PROD025,2024-11-03,Late Delivery,91.24
RET000050,ORD000421,PROD016,2024-03-12,Quality Issue,79.11
RET000051,ORD000423,PROD095,2024-03-31,Damaged Item,144.8
RET000052,ORD000445,PROD006,2024-06-19,Damaged Item,22.2
RET000053,ORD000456,PROD005,2024-12-15,Damaged Item,18.27
RET000054,ORD000460,PROD053,2024-09-04,Quality Issue,83.83
RET000055,ORD000464,PROD006,2024-01-20,Quality Issue,105.36
RET000056,ORD000468,PROD031,2025-01-08,Damaged Item,26.04
RET000057,ORD000509,PROD080,2024-02-24,Damaged Item,104.01
RET000058,ORD000517,PROD057,2024-09-12,Damaged Item,55.8
RET000059,ORD000541,PROD079,2024-07-26,Wrong Item,100.06
RET000060,ORD000545,PROD098,2025-09-16,Wrong Item,60.26
RET000061,ORD000548,PROD011,2024-08-07,Late Delivery,110.36
RET000062,ORD000557,PROD075,2024-03-25,Quality Issue,109.5
RET000063,ORD000559,PROD065,2024-04-30,Late Delivery,112.72
RET000064,ORD000560,PROD057,2025-09-03,Wrong Item,45.97
RET000065,ORD000573,PROD064,2025-04-01,Wrong Item,89.64
RET000066,ORD000599,PROD066,2025-03-14,Damaged Item,145.08
RET000067,ORD000609,PROD084,2024-12-23,Wrong Item,98.74
RET000068,ORD000612,PROD024,2025-12-03,Quality Issue,126.34
RET000069,ORD000617,PROD082,2024-12-21,Damaged Item,27.57
RET000070,ORD000624,PROD011,2024-02-14,Wrong Item,59.44
RET000071,ORD000635,PROD095,2025-09-25,Damaged Item,114.64
RET000072,ORD000637,PROD047,2025-11-07,Customer Changed Mind,48.54
RET000073,ORD000647,PROD032,2024-05-05,Quality Issue,124.4
RET000074,ORD000650,PROD037,2025-09-12,Customer Changed Mind,128.52
RET000075,ORD000660,PROD087,2024-10-24,Damaged Item,135.98
RET000076,ORD000662,PROD032,2025-10-12,Customer Changed Mind,102.35
RET000077,ORD000671,PROD017,2024-12-27,Late Delivery,33.1
RET000078,ORD000674,PROD034,2025-03-27,Damaged Item,89.23
RET000079,ORD000677,PROD030,2024-06-15,Quality Issue,65.27
RET000080,ORD000710,PROD091,2024-04-05,Late Delivery,124.04
RET000081,ORD000736,PROD095,2025-12-20,Quality Issue,75.37
RET000082,ORD000738,PROD062,2024-04-11,Damaged Item,53.96
RET000083,ORD000747,PROD079,2024-05-05,Damaged Item,131.08
RET000084,ORD000752,PROD032,2025-03-13,Wrong Item,10.32
RET000085,ORD000769,PROD003,2025-10-21,Damaged Item,70.85
RET000086,ORD000774,PROD031,2025-04-16,Damaged Item,52.89
RET000087,ORD000787,PROD021,2024-02-29,Wrong Item,49.8
RET000088,ORD000791,PROD019,2024-02-16,Wrong Item,50.3
RET000089,ORD000841,PROD002,2024-08-08,Damaged Item,62.95
RET000090,ORD000861,PROD076,2025-03-23,Wrong Item,77.04
RET000091,ORD000863,PROD031,2024-12-28,Wrong Item,149.82
RET000092,ORD000866,PROD017,2025-12-24,Damaged Item,32.61
RET000093,ORD000872,PROD004,2025-11-10,Damaged Item,99.61
RET000094,ORD000873,PROD014,2025-09-06,Customer Changed Mind,24.01
RET000095,ORD000874,PROD025,2024-03-20,Quality Issue,17.49
RET000096,ORD000883,PROD026,2024-08-04,Damaged Item,70.59
RET000097,ORD000886,PROD021,2025-03-11,Damaged Item,111.46
RET000098,ORD000889,PROD049,2024-12-15,Customer Changed Mind,138.32
RET000099,ORD000899,PROD056,2025-07-06,Damaged Item,92.97
RET000100,ORD000938,PROD023,2025-12-15,Quality Issue,127.46
RET000101,ORD000949,PROD063,2024-12-24,Customer Changed Mind,108.95
RET000102,ORD000956,PROD093,2024-04-07,Wrong Item,119.1
RET000103,ORD000967,PROD098,2024-03-29,Customer Changed Mind,134.33
RET000104,ORD000971,PROD007,2024-11-29,Damaged Item,132.04
RET000105,ORD000980,PROD028,2024-01-27,Customer Changed Mind,91.5
RET000106,ORD000990,PROD055,2024-09-11,Damaged Item,52.01
RET000107,ORD001004,PROD026,2025-04-30,Late Delivery,110.48
RET000108,ORD001008,PROD077,2024-04-10,Late Delivery,130.23
RET000109,ORD001034,PROD053,2024-08-07,Customer Changed Mind,43.55
RET000110,ORD001049,PROD063,2024-09-05,Wrong Item,65.05
RET000111,ORD001051,PROD094,2026-01-06,Wrong Item,29.1
RET000112,ORD001054,PROD060,2025-12-16,Wrong Item,81.16
RET000113,ORD001070,PROD019,2025-05-02,Damaged Item,100.27
RET000114,ORD001085,PROD093,2024-01-15,Damaged Item,84.3
RET000115,ORD001094,PROD029,2025-12-03,Quality Issue,27.94
RET000116,ORD001099,PROD063,2025-07-10,Customer Changed Mind,32.52
RET000117,ORD001100,PROD092,2025-09-07,Wrong Item,112.45
RET000118,ORD001103,PROD027,2024-06-01,Wrong Item,127.97
RET000119,ORD001105,PROD055,2025-07-28,Wrong Item,55.03
RET000120,ORD001122,PROD014,2024-08-21,Wrong Item,70.54
RET000121,ORD001129,PROD073,2024-06-04,Wrong Item,103.65
RET000122,ORD001138,PROD069,2025-12-25,Customer Changed Mind,66.26
RET000123,ORD001153,PROD020,2025-07-15,Wrong Item,130.44
RET000124,ORD001156,PROD035,2024-07-22,Customer Changed Mind,65.53
RET000125,ORD001159,PROD018,2024-10-29,Customer Changed Mind,108.54
RET000126,ORD001165,PROD031,2024-02-06,Wrong Item,27.36
RET000127,ORD001175,PROD090,2025-07-16,Late Delivery,19.97
RET000128,ORD001223,PROD070,2024-01-24,Damaged Item,56.72
RET000129,ORD001232,PROD010,2024-11-14,Late Delivery,129.98
RET000130,ORD001233,PROD006,2025-01-18,Customer Changed Mind,144.88
RET000131,ORD001254,PROD019,2024-06-24,Late Delivery,72.86
RET000132,ORD001258,PROD083,2025-01-04,Damaged Item,82.33
RET000133,ORD001262,PROD065,2024-09-26,Customer Changed Mind,26.93
RET000134,ORD001263,PROD035,2025-04-03,Customer Changed Mind,81.51
