shipment_id,order_id,carrier,shipping_method,shipping_cost,delay_days,delay_reason
SHP000001,ORD000001,FedEx,Standard,8.68,0,No Delay
SHP000002,ORD000002,UPS,Standard,6.16,0,No Delay
SHP000003,ORD000003,USPS,Priority,44.96,0,No Delay
SHP000004,ORD000004,UPS,Expedited,31.26,0,No Delay
SHP000005,ORD000005,DHL,Standard,10.31,0,No Delay
SHP000006,ORD000006,FedEx,Standard,6.1,0,No Delay
SHP000007,ORD000007,Regional Carrier,Expedited,17.16,0,No Delay
SHP000008,ORD000008,Regional Carrier,Expedited,19.62,0,No Delay
SHP000009,ORD000009,USPS,Priority,51.35,0,No Delay
SHP000010,ORD000010,UPS,Standard,13.85,0,No Delay
SHP000011,ORD000011,UPS,Standard,11.09,0,No Delay
SHP000012,ORD000012,FedEx,Standard,17.59,0,No Delay
SHP000013,ORD000013,UPS,Standard,14.01,0,No Delay
SHP000014,ORD000014,USPS,Expedited,22.37,0,No Delay
SHP000015,ORD000015,DHL,Expedited,29.93,3,Inventory Shortage
SHP000016,ORD000016,UPS,Standard,16.99,0,No Delay
SHP000017,ORD000017,FedEx,Standard,14.5,0,No Delay
SHP000018,ORD000018,FedEx,Standard,9.03,0,No Delay
SHP000019,ORD000019,FedEx,Expedited,21.3,0,No Delay
SHP000020,ORD000020,Regional Carrier,Standard,10.02,0,No Delay
SHP000021,ORD000021,UPS,Priority,37.0,0,No Delay
SHP000022,ORD000022,UPS,Standard,8.23,0,No Delay
SHP000023,ORD000023,DHL,Standard,7.2,0,No Delay
SHP000024,ORD000024,DHL,Expedited,31.24,0,No Delay
SHP000025,ORD000025,FedEx,Standard,7.95,0,No Delay
SHP000026,ORD000026,UPS,Standard,11.25,0,No Delay
SHP000027,ORD000027,DHL,Standard,15.22,0,No Delay
SHP000028,ORD000028,Regional Carrier,Expedited,32.6,0,No Delay
SHP000029,ORD000029,FedEx,Expedited,32.36,0,No Delay
SHP000030,ORD000030,UPS,Standard,14.61,0,No Delay
SHP000031,ORD000031,Regional Carrier,Standard,10.75,1,System Issue
SHP000032,ORD000032,USPS,Expedited,28.74,0,No Delay
SHP000033,ORD000033,UPS,Expedited,15.04,0,No Delay
SHP000034,ORD000034,Regional Carrier,Standard,9.45,0,No Delay
SHP000035,ORD000035,DHL,Standard,14.25,4,Labor Constraint
SHP000036,ORD000036,DHL,Expedited,27.51,0,No Delay
SHP000037,ORD000037,FedEx,Standard,9.11,0,No Delay
SHP000038,ORD000038,DHL,Standard,17.95,0,No Delay
SHP000039,ORD000039,Regional Carrier,Expedited,20.97,0,No Delay
SHP000040,ORD000040,UPS,Standard,8.75,0,No Delay
